back_premise,back_hypothesis,label
대륙의 정세가 흔들리자 공민왕은 이를 틈타 원나라의 근간을 무너뜨리고 대담한 혁신정치를 펼쳐 완전한 독립을 회복했다.,공민왕의 혁신적인 정치는 성공적이었다.,neutral
공사는 올해부터 모든 역사 속 초미세먼지를 걸러낼 수 있는 고성능 공기청정기도 설치한다.,고성능 공기청정기 설치 예산은 정부가 지원한다.,neutral
공사는 올해부터 모든 역사 속 초미세먼지를 걸러낼 수 있는 고성능 공기청정기도 설치한다.,초미세먼지를 걸러낼 수 있는 고성능 공기청정기가 있다.,entailment
"공성전은 단지 배경일 뿐이며, 묵가의 사상과 그에 대한 인물들의 생각을 중점적으로 다루고 있다.",공성전이 초점은 아니다.,entailment
"공성전은 단지 배경일 뿐이며, 묵가의 사상과 그에 대한 인물들의 생각을 중점적으로 다루고 있다.",묵가 사상에 반대하는 사람들의 생각이 초점이다.,neutral
"공식 유튜브 채널에서는 박물관에서 열리는 전시회, 문화행사, 특별전 등을 비롯해 주제별 전시해설 영상을 볼 수 있다.",공식 유튜브 채널에는 아직 동영상이 올라오지 않았다.,contradiction
"공식 유튜브 채널에서는 박물관에서 열리는 전시회, 문화행사, 특별전 등을 비롯해 주제별 전시해설 영상을 볼 수 있다.",공식 유튜브 채널에는 이미 동영상이 업로드돼 있다.,entailment
"공식 유튜브 채널에서는 박물관에서 열리는 전시회, 문화행사, 특별전 등을 비롯해 주제별 전시해설 영상을 볼 수 있다.",공식 유튜브 채널 구독자는 200만 명이다.,neutral
정식 출시 날짜와 가격이 나오지 않았습니다.,가격은 공개됐지만 출시일은 미공개다.,contradiction
정식 출시 날짜와 가격이 나오지 않았습니다.,공식 출시일과 가격은 아직 공개되지 않았다.,entailment
"공예명장박물관은 대한민국 명장 송현경, 광주 공예명장 한경희 등 20여 점의 작품을 통해 전통공예의 진수를 보여줄 예정이다.",공예명장관에서 전시된 작품은 한경희 명인과 손형경 명인의 작품뿐이다.,contradiction
공원시설 설치기준도 지역에 맞게 개선된다.,공원시설 설치 기준이 모두 수도권과 동일하게 개선된다.,contradiction
공원시설 설치기준도 지역에 맞게 개선된다.,기존 공원시설 설치기준에 문제가 많았다.,neutral
공원시설 설치기준도 지역에 맞게 개선된다.,공원시설 설치 기준이 지역에 맞게 개선된다.,entailment
공개된 사진에는 짙은 안개와 미세먼지가 묻어나는 모습이 공유됐다.,사진 속에는 짙은 안개가 끼어 있었습니다.,entailment
공개된 사진에는 짙은 안개와 미세먼지가 묻어나는 모습이 공유됐다.,사진이 공유되지 않았습니다.,contradiction
공개된 사진에는 짙은 안개와 미세먼지가 묻어나는 모습이 공유됐다.,짙은 안개와 미세먼지만 내렸다.,neutral
"공인인증서의 우월한 법적 효력이 폐지됨에 따라 블록체인, 생체인식 등 다양하고 편리한 인증 서비스를 이용할 수 있게 됐다.",공인인증서의 우월한 법적 효력이 폐지돼도 블록체인은 쓸 수 없다.,contradiction
공정거래위원장 임명은 국회 인준 절차를 거치지 않아도 되고 청문보고서 채택도 꼭 필요하지 않다.,공정위 임명에 국회 인준 절차가 꼭 필요한 것은 아니다.,entailment
공정거래위원장 임명은 국회 인준 절차를 거치지 않아도 되고 청문보고서 채택도 꼭 필요하지 않다.,공정거래위원장 임명은 청문보고서 채택이 필수다.,contradiction
"공주인 트와일라잇 스파클은 정상 회담에 참가하기 위해 크리스탈 제국으로 향하는데, 그곳에서 하룻밤을 묵는다.",트와일라잇 스파클은 올해 1월에 공주가 되었습니다.,neutral
"공주인 트와일라잇 스파클은 정상 회담에 참가하기 위해 크리스탈 제국으로 향하는데, 그곳에서 하룻밤을 묵는다.",트와일라잇 스파클은 크리스탈 제국에 도착할 때까지 잠시도 쉬지 않았습니다.,neutral
"공주인 트와일라잇 스파클은 정상 회담에 참가하기 위해 크리스탈 제국으로 향하는데, 그곳에서 하룻밤을 묵는다.",트와일라잇 스파클은 크리스탈 제국을 향했습니다.,entailment
그것은 공주와 왕자들이 불렀던 아름다운 노래들을 떠올리게 합니다.,공주와 왕자는 아름다운 노래를 불렀습니다.,entailment
그것은 공주와 왕자들이 불렀던 아름다운 노래들을 떠올리게 합니다.,나는 지금 아름다운 노래를 부르고 싶어요.,neutral
공직선거법은 선거에 영향을 미칠 목적으로 후보자 이름이 담긴 인쇄물을 유통하는 것을 금지하고 있다.,선거에 영향을 미칠 목적으로 후보자 이름이 담긴 동영상을 유포하는 것은 금지된다.,neutral
공포는 공포의 맛이 있을 때만 공포입니다.,공포는 무서운 맛이 없는 공포입니다.,contradiction
공포는 공포의 맛이 있을 때만 공포입니다.,공포의 맛이 나지 않더라도 공포일 수 있다.,neutral
공포는 공포의 맛이 있을 때만 공포입니다.,공포와 같은 맛이 있어야 공포가 공포가 된다.,entailment
제가 공항버스를 타는 장소도 매우 가깝습니다.,공항버스를 타는 것이 편리합니다.,entailment
제가 공항버스를 타는 장소도 매우 가깝습니다.,공항버스만 탈 수 있어요.,neutral
공항에서 오고 가기도 쉽고 대중교통을 이용하기도 편해요.,공항에서 오고 가기 불편해요.,contradiction
공항에서 오고 가기도 쉽고 대중교통을 이용하기도 편해요.,공항까지 대중교통을 타고 갈 수 있습니다.,neutral
그곳은 공항과 가깝고 아주 좋은 곳입니다.,그곳은 공항과 가까워서 인기 있는 장소입니다.,neutral
그곳은 공항과 가깝고 아주 좋은 곳입니다.,그곳은 공항에서 가깝습니다.,entailment
공항에서 이용하기에 매우 편리한 숙소였습니다.,그것은 공항에서 매우 가까운 숙소였습니다.,neutral
공항에서 이용하기에 매우 편리한 숙소였습니다.,숙소에서 공항 이용이 매우 편리했습니다.,entailment
공항철도를 운영하는 코레일공항철도는 보도자료를 통해 공항철도가 개통되면 인천공항 경쟁력이 더욱 강화될 것이라고 강조했다.,코레일공항철도는 공항철도 개통과 관련한 보도자료를 낸 적이 없다.,contradiction
공항철도를 운영하는 코레일공항철도는 보도자료를 통해 공항철도가 개통되면 인천공항 경쟁력이 더욱 강화될 것이라고 강조했다.,코레일 공항철도는 공항철도를 운영하고 있습니다.,entailment
트럼프 공화당 후보는 지난 11월 8일 치러진 2016년 미국 대선 개표 결과 힐러리 클린턴 민주당 후보를 누르고 45대 미국 대통령으로 당선을 확정했다.,트럼프와 힐러리 클린턴은 2016년 미국 대선에 출마했다.,entailment
트럼프 공화당 후보는 지난 11월 8일 치러진 2016년 미국 대선 개표 결과 힐러리 클린턴 민주당 후보를 누르고 45대 미국 대통령으로 당선을 확정했다.,힐러리는 2016년 미국 대선에서 승리했습니다.,contradiction
과거는 과거에 머무르지 않고 오늘날에도 여전히 반복됩니다.,과거는 과거에만 머물러 있습니다.,contradiction
과거는 과거에 머무르지 않고 오늘날에도 여전히 반복됩니다.,과거를 보면 미래를 볼 수 있습니다.,neutral
과기부와 국립보건원은 출연 연구기관이 보유한 인프라와 인력을 활용해 치료제 및 백신 후보물질에 대한 약물 효능 분석 및 동물실험을 맞춤형 지원하고 있다.,과기정통부와 국립보건원이 맞춤형으로 운영하는 대상은 동물실험뿐이다.,contradiction
과기정통부는 시가 일회성 행사로 끝나지 않도록 중장기 과학문화 활성화 전략 수립을 지원할 계획이다.,과학기술정보통신부가 과학기술문화도시의 중장기 과학문화 활성화 전략 수립을 지원한다.,entailment
과학기술정보통신부는 인공지능 기반 디지털 뉴딜사업의 일환으로 한국과학기술정보통신연구원이 축적한 논문을 대상으로 이 같은 사업을 시작한다고 24일 밝혔다.,과학기술정보통신부와 한국과학기술정보통신연구원이 다양한 협력 사업을 펼친다.,neutral
과학기술정보통신부는 인공지능 기반 디지털 뉴딜사업의 일환으로 한국과학기술정보통신연구원이 축적한 논문을 대상으로 이 같은 사업을 시작한다고 24일 밝혔다.,이 사업은 한국과학기술정보통신연구원이 과학기술정보통신부에서 축적한 논문을 제외한다.,contradiction
과학기술정보통신부는 인공지능 기반 디지털 뉴딜사업의 일환으로 한국과학기술정보통신연구원이 축적한 논문을 대상으로 이 같은 사업을 시작한다고 24일 밝혔다.,이 사업은 한국과학기술정보통신연구원이 과학기술정보통신부에 축적한 논문을 대상으로 한다.,entailment
과학을 사랑하는 12살 천재 소년 토미는 과학경진대회 프로젝트를 준비하던 중 새로운 유전자 복제 기술을 이용해 타조 알로 공룡 부화에 성공한다.,타조알로 공룡을 부화하는 유전자 복제 기술이 학계의 비판을 받고 있다.,neutral
과학을 사랑하는 12살 천재 소년 토미는 과학경진대회 프로젝트를 준비하던 중 새로운 유전자 복제 기술을 이용해 타조 알로 공룡 부화에 성공한다.,토미는 과학을 좋아한다.,entailment
과학을 사랑하는 12살 천재 소년 토미는 과학경진대회 프로젝트를 준비하던 중 새로운 유전자 복제 기술을 이용해 타조 알로 공룡 부화에 성공한다.,토미는 소녀이다.,contradiction
관객들이 다시 영화관을 찾기 시작하면서 영화관 경제가 살아날지 귀추가 주목된다.,관객들이 다시 영화관을 찾는 이유는 대형 스크린 때문이다.,neutral
관객들이 다시 영화관을 찾기 시작하면서 영화관 경제가 살아날지 귀추가 주목된다.,관객들이 다시 영화관을 찾기 시작했다.,entailment
관객들이 함께 만든 영화라 더욱 빛난다.,관객들이 함께 영화를 만들기 때문에 더욱 빛난다.,entailment
관객들이 함께 만든 영화라 더욱 빛난다.,관객 혼자 만든 영화라 더욱 빛난다.,contradiction
굳이 관객이 돈을 내고 영화를 볼 이유가 없어 보인다.,돈을 주고라도 꼭 봐야 할 영화인 것 같아.,contradiction
그곳은 관광이나 쇼핑하기 편리한 위치에 있습니다.,관광하기에 나쁘지 않은 위치입니다.,entailment
그곳은 관광이나 쇼핑하기 편리한 위치에 있습니다.,근처에 큰 쇼핑몰이 있어요.,neutral
우리의 대표적인 문화유산을 관광자원으로 매력적으로 알리기 위해 문화유산 방문코스를 마련하고 한류스타 콜라보레이션 홍보 콘텐츠를 제작할 계획이다.,우리는 우리의 대표적인 문화유산을 관광자원으로 사용하지 않을 것입니다.,contradiction
관광지에 대한 철저한 방역과 함께 안전한 여행과 놀이문화 확산에 모두의 협조가 필요하다.,모두가 협력해야 안전한 여행과 놀이문화 확산이 가능하다.,entailment
당신은 관광지와는 다른 매력을 느낄 수 있습니다.,관광지에서는 느낄 수 없는 평화가 매력적입니다.,neutral
당신은 관광지와는 다른 매력을 느낄 수 있습니다.,그것은 관광지와 크게 다르지 않습니다.,contradiction
당신은 관광지와는 다른 매력을 느낄 수 있습니다.,그것은 관광지와는 다른 매력을 가지고 있습니다.,entailment
그 숙소의 위치는 관광하기에 정말 좋습니다.,숙소의 위치는 실망스럽지 않습니다.,entailment
그 관광 회사는 신청만 하면 누구나 낚시가 가능하다고 말했습니다.,관광사가 누구를 신청해도 낚시는 불가능하다.,contradiction
그 관광 회사는 신청만 하면 누구나 낚시가 가능하다고 말했습니다.,관광 회사들은 낚시를 장려한다.,neutral
그 관광 회사는 신청만 하면 누구나 낚시가 가능하다고 말했습니다.,관광회사는 신청만 하면 누구나 낚시가 가능하다고 말했다.,entailment
"관세청은 가나, 알제리, 에티오피아, 카메룬, 타지키스탄 등 5개국에 유니패스를 수출하고 가봉, 북마케도니아, 튀니지, 자메이카 등 4개국에 상담했다.",관세청은 5개국에 유니패스를 수출하고 4개국에 컨설팅을 진행했다.,entailment
"관세청은 가나, 알제리, 에티오피아, 카메룬, 타지키스탄 등 5개국에 유니패스를 수출하고 가봉, 북마케도니아, 튀니지, 자메이카 등 4개국에 상담했다.",관세청은 가나에 유니패스를 수출한 적이 없고 튀니지에서 컨설팅을 진행한 바 있다.,contradiction
"관세청은 가나, 알제리, 에티오피아, 카메룬, 타지키스탄 등 5개국에 유니패스를 수출하고 가봉, 북마케도니아, 튀니지, 자메이카 등 4개국에 상담했다.",관세청은 유니 패스를 아프리카 국가들에 수출하기를 원한다.,contradiction
광고 정보가 부분적이거나 브랜드 콘텐츠 상단에 해시태그를 달았다는 주장은 법적 기준과 관련이 없다.,대가를 치르고 광고 정보를 공유하는 것은 불법이다.,neutral
광고 정보가 부분적이거나 브랜드 콘텐츠 상단에 해시태그를 달았다는 주장은 법적 기준과 관련이 없다.,브랜드 콘텐츠 상단에 있는 해시태그는 법적 기준과 관련이 없다.,entailment
광대로 일하면서 스탠드업 코미디언을 꿈꾸는 아서 플렉스는 그의 어머니 페니와 함께 고담시에서 살고 있다.,아서 플렉은 유명한 스탠드업 코미디언이 되겠다는 그의 꿈을 이뤘다.,neutral
광산구자원봉사센터는 설 명절을 이틀 앞둔 30일 도산동행정복지센터 대회의실에서 지역이 어려운 이웃들에게 갓 담근 맛있는 김치 100상자를 전달했다.,광산구자원봉사센터가 김치를 전달한 것은 설 명절을 이틀 앞둔 시점이었다.,entailment
광산구자원봉사센터는 설 명절을 이틀 앞둔 30일 도산동행정복지센터 대회의실에서 지역이 어려운 이웃들에게 갓 담근 맛있는 김치 100상자를 전달했다.,광산구자원봉사센터가 지역의 어려운 이웃들에게 김치를 전달했다.,contradiction
광산구자원봉사센터는 설 명절을 이틀 앞둔 30일 도산동행정복지센터 대회의실에서 지역이 어려운 이웃들에게 갓 담근 맛있는 김치 100상자를 전달했다.,광산구자원봉사센터가 설날을 맞아 지역 내 어려운 이웃들에게 떡국을 제공하는 행사를 연다.,neutral
"광주 남구가 노인들의 신체와 정서, 인지력 강화를 위해 11월 말까지 신체활동이 있는 뇌건강 365 인지교실을 운영한다.",노인들은 11월 말까지 뇌 건강 교육을 받을 수 있습니다.,entailment
"광주광역시 해외시장개척단이 러시아, 독일 등으로 폭넓은 수출 채널을 열었다.",광주광역시 해외시장개척단의 수출 판로를 연 것은 독일이 유일하다.,contradiction
"광주광역시 해외시장개척단이 러시아, 독일 등으로 폭넓은 수출 채널을 열었다.","러시아, 독일 등으로 수출 통로를 연 것이 바로 광주광역시 해외시장 개척단이다.",entailment
"광주광역시 해외시장개척단이 러시아, 독일 등으로 폭넓은 수출 채널을 열었다.",현재 독일 수출 시장은 다시 막힌 상태다.,neutral
광주시가 운영하는 안전체험관은 교육부가 주관하는 2019년 학교안전체험관 추가 지정 공모사업에 선정돼 3억원의 특별교부금을 받게 됐다.,2019년 학교안전체험관으로 지정된 추가 공모사업에는 총 3개 사업이 선정됐다.,neutral
광주시가 운영하는 안전체험관은 교육부가 주관하는 2019년 학교안전체험관 추가 지정 공모사업에 선정돼 3억원의 특별교부금을 받게 됐다.,광주광역시가 운영하는 안전체험관에는 3억원의 특별교부금이 지원된다.,entailment
광주광역시가 재개발 정비사업 원주민 종합대책을 마련하는 등 원주민 보호에 적극 나섰다.,광주광역시가 원주민 보호에 대한 대책 없이 재개발 정비사업을 강행했다.,contradiction
광주광역시가 공유재산을 체계적으로 관리하기 위해 외부 전문기관에 위탁해 2019년 공유재산 정밀조사를 실시한다.,광주광역시가 전문기관의 도움을 받아 공유재산을 효과적으로 관리하고 있다.,neutral
광주광역시가 공유재산을 체계적으로 관리하기 위해 외부 전문기관에 위탁해 2019년 공유재산 정밀조사를 실시한다.,광주광역시가 사유재산을 체계적으로 관리하기 위해 공유재산 실태조사를 실시한다.,contradiction
광주광역시는 올해 문화누리카드 사용 마감일이 31일로 끝나는 만큼 신청자들에게 조속히 사용하라고 당부했다.,올해 문화누리카드의 사용기한은 아직 미정이다.,contradiction
광주대학교가 일본 오사카에 있는 오토몽가쿠인대학과 축구 경기를 통해 친선을 도모하는 등 국제교류에 나서고 있다.,광주대가 국제교류에 나선 것은 올해가 처음이다.,neutral
광주대학교가 일본 오사카에 있는 오토몽가쿠인대학과 축구 경기를 통해 친선을 도모하는 등 국제교류에 나서고 있다.,광주대학교가 국제 교류를 중단했다.,contradiction
광주시는 지난 7일부터 9일까지 인도네시아 청소년 관광객 32명이 광주를 방문했다고 밝혔다.,총 40명의 청소년 관광객이 광주를 방문했다고 밝혔다.,contradiction
광주시는 지난 7일부터 9일까지 인도네시아 청소년 관광객 32명이 광주를 방문했다고 밝혔다.,광주시는 인도네시아 청소년 관광객 32명이 3일간 광주를 방문했다고 밝혔다.,entailment
광주시는 지난 7일부터 9일까지 인도네시아 청소년 관광객 32명이 광주를 방문했다고 밝혔다.,인도네시아 청소년 관광객들이 광주지역 관광지를 돌았다.,neutral
광주전남에서 유일하게 열리는 공연은 서울시와 강진군 간 문화교류사업으로 오는 6월 20일부터 강진아트홀 매표소에서 무료 초청권이 배포된다.,오는 6월 20일부터 일주일간 무료 초대권이 배부된다.,neutral
광주전남에서 유일하게 열리는 공연은 서울시와 강진군 간 문화교류사업으로 오는 6월 20일부터 강진아트홀 매표소에서 무료 초청권이 배포된다.,이 공연은 서울과 강진군에서 볼 수 있다.,contradiction
광주지방법원에서 열린 세월호 재판에서 이준석 선장이 자신이 선장이라고 증언했다.,세월호 재판이 광주지방법원에서 열리고 있다.,entailment
광주지방법원에서 열린 세월호 재판에서 이준석 선장이 자신이 선장이라고 증언했다.,세월호 재판은 서울동부지법에서만 열리고 있다.,contradiction
광주지방법원에서 열린 세월호 재판에서 이준석 선장이 자신이 선장이라고 증언했다.,이준석 선장이 재판에서 무기징역을 선고받았다.,neutral
교감은 토네이도가 발생할 경우를 대비해 졸업식을 연기해 달라고 요청하지만 교장은 이를 거부한다.,토네이도에도 불구하고 교감은 졸업식을 고집한다.,contradiction
"교도통신에 따르면 사이타마현과 나가노현, 이시카와현에서 총 5명이 숨지고 간토현을 중심으로 628명이 다쳤다.",교도통신은 사망자와 부상자가 더 늘어날 것이라고 보도했다.,neutral
"교도통신에 따르면 사이타마현과 나가노현, 이시카와현에서 총 5명이 숨지고 간토현을 중심으로 628명이 다쳤다.",사망자 없이 456명이 부상을 입었다고 한다.,contradiction
"교도통신에 따르면 사이타마현과 나가노현, 이시카와현에서 총 5명이 숨지고 간토현을 중심으로 628명이 다쳤다.","사이타마현, 나가노현, 이시카와현에서 총 5명이 사망한 것으로 보고되었다.",entailment
"교수와 동료들은 웃음소리가 사회적 신호이며, 남성과 여성이 인간관계를 다르게 대하는 것처럼 웃음을 사용하는 방식도 다르다고 설명했다.",그 교수는 웃음이 사회적인 신호라고 설명했습니다.,entailment
교육부는 앞으로 연체금리를 추가 인하해 채무자의 상환 부담을 완화하고 연체 조기 해결을 도울 계획이다.,앞으로 교육부는 연체금리를 더 낮출 계획이다.,entailment
교육부는 앞으로 연체금리를 추가 인하해 채무자의 상환 부담을 완화하고 연체 조기 해결을 도울 계획이다.,교육부는 앞으로 연체금리를 추가 인상해 채무자의 상환 부담을 높일 계획이다.,contradiction
"교육은 남동구에 거주하는 국제결혼이민자를 대상으로 한국어 읽기, 쓰기, 듣기, 말하기 등 통합교육으로 향후 중·고급반으로 확대할 계획이다.",남동구에 거주하는 국제결혼이민자는 무료로 한국어를 배울 수 있다.,neutral
"교육은 남동구에 거주하는 국제결혼이민자를 대상으로 한국어 읽기, 쓰기, 듣기, 말하기 등 통합교육으로 향후 중·고급반으로 확대할 계획이다.",남동구에 거주하는 국제결혼이민자는 한국어 교육을 받을 수 있다.,entailment
"교육은 남동구에 거주하는 국제결혼이민자를 대상으로 한국어 읽기, 쓰기, 듣기, 말하기 등 통합교육으로 향후 중·고급반으로 확대할 계획이다.",한국어 교육의 유일한 대상은 남동구에 거주하는 난민 이민자들이다.,contradiction
교육 인프라 디지털화 구축을 위해 총 1조 3천억 원의 예산이 투입돼 일자리 9만 개가 창출된다.,"5,000억 원의 예산을 투입해 9만 개의 일자리를 창출할 계획이다.",contradiction
교육 인프라 디지털화 구축을 위해 총 1조 3천억 원의 예산이 투입돼 일자리 9만 개가 창출된다.,총 1조3000억원을 투자하는 이유는 교육인프라의 디지털화를 구축하기 위해서다.,entailment
교육 인프라의 디지털 전환을 위해 모든 초중고교에 디지털 기반 교육 인프라가 조성된다.,디지털 기반 교육 인프라는 학업 성과를 향상시킨다.,neutral
교육 인프라의 디지털 전환을 위해 모든 초중고교에 디지털 기반 교육 인프라가 조성된다.,디지털 기반 교육 인프라는 고등학교에서만 만들어진다.,contradiction
교육적인 메시지와 영화 주제가 너무 감동적이었어요.,그 메시지는 교육적인 영화였다.,entailment
교육적인 메시지와 영화 주제가 너무 감동적이었어요.,그 영화의 주제는 교육과 관련이 있습니다.,neutral
교육적인 메시지와 영화 주제가 너무 감동적이었어요.,그것은 전혀 감동적이지 않은 영화 주제였습니다.,contradiction
"교육체험관, 애국탐방로, 기념공원 등을 조성해 해동사 일대를 역사문화 명소로 개발해 청소년을 위한 교육공간으로 활용할 계획이다.",해동사 일대가 공터로 조성된다.,contradiction
"교육체험관, 애국탐방로, 기념공원 등을 조성해 해동사 일대를 역사문화 명소로 개발해 청소년을 위한 교육공간으로 활용할 계획이다.",해동사 일대를 역사문화명소로 개발하는 사업이 올해 추진될 예정이다.,neutral
교전은 1632년 10월 차르의 군대가 옛 러시아 영토였던 스몰렌스크를 재점령하려 할 때 일어났다.,싸움은 일어나지 않았다.,contradiction
교전은 1632년 10월 차르의 군대가 옛 러시아 영토였던 스몰렌스크를 재점령하려 할 때 일어났다.,차르의 군대가 스몰렌스크를 다시 점령했다.,neutral
교전은 1632년 10월 차르의 군대가 옛 러시아 영토였던 스몰렌스크를 재점령하려 할 때 일어났다.,차르의 군대는 스몰렌스크를 점령하려 했다.,entailment
트램과 지하철이 가깝기 때문에 교통도 편리합니다.,교통이 편리해서 좋습니다.,entailment
트램과 지하철이 가깝기 때문에 교통도 편리합니다.,지하철이 멀어서 불편해요.,contradiction
교통편과 편의시설은 정말 가깝습니다.,교통 시설과 가깝습니다.,entailment
교통편과 편의시설은 정말 가깝습니다.,교통시설은 편의시설과 가깝습니다.,entailment
교통이 매우 편리하고 인테리어도 훌륭합니다.,교통이 매우 불편합니다.,contradiction
구글뉴스는 뉴스 서비스에 광고를 싣지 않고 서비스를 통해 수익을 내지 않기 때문에 서비스를 지속하기가 어렵다고 밝혔다.,구글 뉴스는 광고로 재정적 이익을 얻었다.,contradiction
구글뉴스는 뉴스 서비스에 광고를 싣지 않고 서비스를 통해 수익을 내지 않기 때문에 서비스를 지속하기가 어렵다고 밝혔다.,구글 뉴스는 광고를 포함하지 않습니다.,entailment
"구는 지난해 9월 단체교섭 요청을 받은 이후 12차례 실무협의, 3차 실무교섭, 3차 본교섭 등을 거쳐 7개월여 만에 83개 조 133개 조항에 최종 합의했다.",구는 단체교섭 요청을 받고 여러 단계를 거쳐 최종 합의에 이르렀다.,entailment
구로사와 아키라 사후 일본 영화는 몰락했다.,구로사와 아키라는 일본 영화의 전성기를 이끌었다.,neutral
구로사와 아키라 사후 일본 영화는 몰락했다.,구로사와 아키라 사후 일본 영화는 몰락했다.,entailment
구로사와 아키라 사후 일본 영화는 몰락했다.,구로사와 아키라 사후 일본 영화가 전성기를 맞았다.,contradiction
구병모는 1976년 서울에서 태어나 어린 시절부터 광범위하게 책을 읽었다.,구병모는 작가가 된다.,neutral
구병모는 1976년 서울에서 태어나 어린 시절부터 광범위하게 책을 읽었다.,구병모 씨는 책을 광범위하게 읽었습니다.,entailment
구병모는 1976년 서울에서 태어나 어린 시절부터 광범위하게 책을 읽었다.,구병모는 춘천에서 태어났다.,contradiction
구병모는 경희대 국어국문학과를 졸업한 뒤 출판사에 편집자로 입사해 2009년 문학에 입문한 뒤 집필에 전념했다.,구병모는 경희대학교에 다녔다.,entailment
구병모는 경희대 국어국문학과를 졸업한 뒤 출판사에 편집자로 입사해 2009년 문학에 입문한 뒤 집필에 전념했다.,구병모는 국제학부를 졸업했다.,contradiction
구병모는 경희대 국어국문학과를 졸업한 뒤 출판사에 편집자로 입사해 2009년 문학에 입문한 뒤 집필에 전념했다.,구병모는 소설가였다.,neutral
"검찰은 구속심사에서 도주 및 증거인멸 우려가 있어 구속을 주장했고, 변호인은 도주를 도와줄 사람이 없다는 이유로 불구속 상태로 주장했다.",구속 인정 심사에서 변호인은 불구속 상태로 주장했다.,entailment
"검찰은 구속심사에서 도주 및 증거인멸 우려가 있어 구속을 주장했고, 변호인은 도주를 도와줄 사람이 없다는 이유로 불구속 상태로 주장했다.",도주 및 증거인멸에 대한 우려가 충분했다.,neutral
구조대는 이날 오전 수색 작전을 통해 한국인 5명을 포함한 원정대 시신 9구를 모두 확인했다.,구조대는 원정대의 시신 중 5구만 확인했다.,contradiction
구조대는 이날 오전 수색 작전을 통해 한국인 5명을 포함한 원정대 시신 9구를 모두 확인했다.,원정대의 9구에는 한국인 5명이 포함됐다.,entailment
구조에 참여했거나 당사자를 알고 있는 시민은 광산구청장실 또는 행정지원과로 문의하면 된다.,광산구청장 비서실에만 문의가 가능합니다.,contradiction
구조에 참여했거나 당사자를 알고 있는 시민은 광산구청장실 또는 행정지원과로 문의하면 된다.,우리는 당사자를 알고 있는 시민을 찾고 있습니다.,entailment
지난해 구조활동은 39건으로 같은 설 연휴보다 1건이 줄었다.,올해 설 연휴 기간 동안 30건의 구조 활동이 발생했다.,contradiction
지난해 구조활동은 39건으로 같은 설 연휴보다 1건이 줄었다.,올해 설 연휴 기간 발생한 구조 활동 가운데 응급상황이 2건 발생했다.,neutral
지난해 구조활동은 39건으로 같은 설 연휴보다 1건이 줄었다.,지난해 설 연휴 기간 40건의 구조 활동이 있었다.,entailment
후쿠시마 역과 신조 역 사이의 야마가타 신칸센과 오우 본선의 요네자와 역 사이의 전통적인 노선 운행이다.,오우 본선의 요네자와 역과 야마가타 역 사이에 재래선이 운행된다.,entailment
후쿠시마 역과 신조 역 사이의 야마가타 신칸센과 오우 본선의 요네자와 역 사이의 전통적인 노선 운행이다.,"후쿠시마역, 요네자와역, 야마가타역이 뒤늦게 포함됐다.",neutral
후쿠시마 역과 신조 역 사이의 야마가타 신칸센과 오우 본선의 요네자와 역 사이의 전통적인 노선 운행이다.,후쿠시마 역과 신조 역 사이의 야마가타 신칸센은 포함되지 않는다.,contradiction
"구체적으로는 위키피디아에서 잘못 기술된 사진 묘사가 교과서에 포함됐지만, 서술과 문장 순서, 어투 등이 유사했던 것으로 알려졌다.",교과서에는 위키피디아에 기록된 내용이 포함됐다.,entailment
"구체적으로는 위키피디아에서 잘못 기술된 사진 묘사가 교과서에 포함됐지만, 서술과 문장 순서, 어투 등이 유사했던 것으로 알려졌다.",위키피디아와 교과서의 내용은 완전히 달랐다.,contradiction
"구체적으로는 2024년까지 매출 1조5000억원, 고용효과 4390명, 기업 174개사가 유치될 전망이다.",2022년까지 매출 1조원 달성이 기대된다.,neutral
"구체적으로는 2024년까지 매출 1조5000억원, 고용효과 4390명, 기업 174개사가 유치될 전망이다.",2024년에는 174개 기업이 유치될 것으로 예상된다.,entailment
"구체적으로는 2024년까지 매출 1조5000억원, 고용효과 4390명, 기업 174개사가 유치될 전망이다.",2024년에는 매출액이 10조5000억원에 이를 것으로 전망된다.,contradiction
구조된 선원은 청해부대 의료진이 건강검진을 실시한 뒤 휴식을 취하고 있는 것으로 알려졌다.,구조된 직후 선원은 의식을 잃고 쓰러졌다.,neutral
구조된 선원은 청해부대 의료진이 건강검진을 실시한 뒤 휴식을 취하고 있는 것으로 알려졌다.,휴식을 취하고 있는 것으로 알려진 사람은 구조된 선원이다.,entailment
정부가 국내 3대 핵심 육성사업 중 하나인 바이오 분야 성장을 가속화하기 위해 인프라 육성에 본격적으로 나서기로 했다.,바이오 분야 외에도 국가 집중 육성 사업이 더 많다.,entailment
"국가별 수소차 보급 대수를 비교해보니 2019년 기준 국내 4194대, 미국 2089대, 일본 644대로 나타났다.",2019년 한국은 수소차를 한 대도 공급하지 않았다.,contradiction
"국가별 수소차 보급 대수를 비교해보니 2019년 기준 국내 4194대, 미국 2089대, 일본 644대로 나타났다.",국내 수소차 보급이 2018년에 비해 3배 증가한 것으로 나타났다.,neutral
국가적 위기에 처할 때마다 우리의 노사정은 뜻을 모으고 연대하고 협력하며 위기를 극복하는 역사적 전통이 있다.,노사정이 국가적 위기 때마다 연대하고 협력해왔다.,entailment
